Participant,Condition,Knowledge,Time,Summary,Time_Control,Lang,Age,Gender,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES,Order
66,2,2,36.71,"In the first one Bob told Sue she could buy an Italian paper at Paperworld, which sells stationary, but was correct about Newstopia. In the second Bob told her to go to Newstopia and not Paperworld.",1,21,24,2,,,,,1,,,4,8,2
67,2,3,38.808,"The difference is that in the first story there is PaperWorld, which Bob was incorrect in telling sue it sells Italian newspapers.",1,21,43,1,,,,,1,,,5,7,2
68,2,5,39.403,The two stories differ in details about Bob and whether he was correct about where to buy a newspaper.,1,21,26,1,,,,,,,,5,5,2
69,2,1,39.765,In the first story Sue had a 50% chance of going to a store that did not sell newspapers. ,1,21,19,2,,,,,1,,,4,5,2
70,2,3,39.802,"Bob told Sue correctly about where she could get an Italian newspaper in the first story, then told her wrongly in the second.",1,21,42,2,,,,,1,,,4,4,1
71,2,7,39.816,Sue is standing in front one one story instead of two int hes second one.,1,21,23,1,,1,,,,,,4,5,2
72,2,2,39.929,"In the first story, Bob told Sue she could buy a newspaper at two stores. In the second story, he told her about one store. ",1,21,24,2,,,,,1,,,4,7,2
73,2,1,40.713,Newstopia sells Italian Newspapers wheras Paperworld does not. Su'es friend misinformed her when he stated that both sold italian newspapers,1,21,49,2,,,,,1,,,4,10,2
74,2,4,41.498,Paperworld sells stationary and the other store has the newspaper,1,21,56,2,,,,,1,,,6,8,1
75,2,7,42.743,"First story had two choices of buying newspapers, wheras the second one only had one choice.",1,21,47,1,,,,,1,,,6,5,2
76,2,4,43.473,Sue had to find out that Bob was wrong about PaperWorld before she went to Newstopia to find out he was right about being able to get an Itilian newspaper there. She went to Newstopia in the second scenario assuming Bob was right.,1,21,53,1,,,,,1,,,2,8,2
77,2,7,46.318,"In the first story, Bob was incorrect about PaperWold selling Italian newspapers, but correct about Newstopia and in the second story Paperworld was not part of the story.",1,21,38,2,,,,,1,,,5,7,2
78,2,6,47.078,"the first was simple, Bob told Susan one fact.  In the second story, Bob was right about one store and wrong about another.  Still, based on his information, Sue now knows where she can buy an Italian newspaper.  If she goes to the correct store first,  she will buy the newspaper there.  if she goes to the stationary store first, she can go to the correct store afterwards and get the newspaper there.",1,21,57,1,,,,,1,,,5,5,1
79,2,7,47.324,"In story number 2 Bob was wrong about one of the stores, however he did inform her each time of where she could get her newspaper.",1,21,30,2,,,,,1,,,4,7,1
80,2,7,48.584,"One give two choices as to where she can buy the newspaper, the other gives her only one choice to purchase it.",1,22,41,1,,,1,,,,,5,7,2
81,2,4,51.074,"The first one says that Bob knows where Sue can buy an Italian newspaper and that place is at Newstopia.  The second story is where Bob says she can get an Italian newspaper at Newstopia and Paperworld, but he was incorrect about Paperworld",1,21,43,2,1,,,,,,,5,5,1
82,2,7,52.195,"In the first story Sue was given some bad advice by Bob. PaperWorld did not sell newspapers, but Newsopia did. In the second one, Bob gave her good advice . Sue gets her newspaper in both scenarios. ",1,21,34,2,,1,,,1,,,5,6,2
83,2,7,52.319,"In the first story Bob misinformed her about one of the store, instead of selling newspapers it sells office supplies, but he was correct about the store that sells Italian newspapers.",1,21,22,2,1,,,,,,,5,6,2
84,2,7,54.601,Bob was correct in the first story but incorrect about one of the two options he offered Sue in the second story.,1,21,47,1,,,,,1,,,5,7,1
85,2,7,55.985,"In both of the stories, she was told where she could purchase an Italian newspaper. In the first story, Bob only told her about one place she could buy an Italian paper and he was correct. In the second story, Bob told her 2 places where she could buy an Italian paper but only one of them was correct.",1,21,31,2,,,,,1,,,4,5,1
86,2,7,56.684,"In one story Bob new where she could buy an Italian newpaper and he was correct, in the other story Bob was wrong. There was no Italian newspaper there.",1,21,44,2,1,,,,,,,5,4,1
87,2,2,57.127,"In the first story, Bob told Sue that both Newstopia and PaperWorld had Italian newspapers even though only Newstopia actually did while in the second story Bob correctly stated Newstopia sold Italian newspapers.",1,21,35,1,1,,,,,,,5,7,2
88,2,5,57.728,There was no choice of where the buy a paper in the second story. In the first he gave wrong information so there is doubt created.,1,21,28,1,,,,,1,,,5,6,2
89,2,4,58.301,the second story does not mention PaperWorld,1,21,43,1,,,,,1,,,4,6,2
90,2,7,58.81,The first story Sue was presented with two places that Bob said she could buy an Italian newspaper when in reality only one offered it. The second story Sue was presented with the one choice which did in fact sell Italian newspapers.,1,21,36,1,,,,,1,,,4,6,2
91,2,4,59.346,"the diiference between these two stories is that in the first story, Sue was not located near a newstad and her friend Bob gave her two options to find newspapers instead of one. In the second story, Sue was near the newspaper stand and her friend told her Newstopia sold newspapers. ",1,21,22,2,1,,,,,,,5,5,2
92,2,4,59.444,"The first story, Bob told Susan she could buy an Italian newspaper at 2 different stores when in fact only one of them had it. The second story Bob told Susan that she could buy the same newspaper at only 1 store. ",1,21,28,1,,,,,1,,,5,6,2
93,2,1,61.005,Sue was standing in front of a store called Newstopia and her friend Bob told her she could buy an Italian newspaper at that store and he was right.  the second story Bob told Sue she could by a newspaper at Paperworld or Newstopia but Bob was wrong about  Paperworld and the Italian newspaper was at Newstopia. ,1,21,58,2,,,,,1,,,4,6,1
94,2,7,64.183,The first story she was told by bob a correct and an incorrect place she could buy an Italian Newspaper.  In the second she was told a correct place to buy a paper.,1,21,33,1,,,,,1,,,6,6,2
95,2,4,67.965,story1 Bob is giving misinformation. story 2 bob is giving correct information,1,21,41,1,,,,,1,,,4,5,2
96,2,4,68.072,"The first story is about Sues friend Bob who is intelligent and trustworthy and knows that Newstopia sells an Italian Newspaper and Sue goes there to buy it. The second story also depicts Bob but instead states that paperworld as well as Newstopia sells an Italian newspaper, but Bob was wrong about paperworld selling Italian Newspapers.",1,21,31,1,,,,,1,,,5,7,1
97,2,4,68.087,They were the same.,1,21,58,2,,,,,1,,,2,4,2
98,2,4,69.046,the first story listed 2 stores and the second one only listed 1 store. ,1,21,51,2,,,,,1,,,2,7,2
99,2,7,71.499,"Bob told Sue she could buy the Italian newspaper at two stores in the first story, which was incorrect. Bob told Sue she could buy the newspaper at Newstopia in the second story which was correct.",1,21,67,2,,,,,1,,,4,6,2
100,2,6,73.175,"The first story was more detailed, while the second story was more straight to the point.",1,21,32,1,1,,,,,,,3,9,2
101,2,2,81.891,I thought they were the same stories,1,21,55,2,,,,,1,,,4,4,2
102,2,3,82.976,In the first article Sue was told she could buy an itailian News paper at Paper world and Newstopia.,1,21,26,1,,,,,1,,,4,3,2
103,2,2,83.244,"The first story, included two places in which Bob said an Italian Newspaper could be purchased, whereas the second story only one place was mentioned.  Also, Bob was not correct that both places had the paper, but in the second story, he was correct which dealt with only one place of business. ",1,21,32,1,,,,,1,,,4,5,2
,,7,115.46,,,,,,,,,,,,,,,
